side,entry_time,exit_time,entry,exit,stop,target,qty,gross_pnl,fees,net_pnl,return_pct,bars
short,2025-03-29 07:45:00+00:00,2025-03-29 08:35:00+00:00,83696.5,83917.5033764988,83917.3033764988,83217.82606025178,0.11763144099329026,-25.996945641936957,6.900836861741121,-32.89778250367808,-0.3289778250367808,10
short,2025-03-31 00:15:00+00:00,2025-03-31 00:40:00+00:00,82173.90000000001,81532.61621648964,82505.01963900692,81532.41621648964,0.11941069023852147,76.57613922774397,6.841907834284159,69.73423139345981,0.6973423139345981,5
short,2025-03-31 04:15:00+00:00,2025-03-31 04:55:00+00:00,81550.90000000001,81804.06874744434,81803.86874744434,81027.73280383351,0.12117801704192963,-30.67848679229318,6.928260915366593,-37.60674770765978,-0.37606747707659777,8
short,2025-04-03 14:00:00+00:00,2025-04-04 18:00:00+00:00,82014.5,82877.70865881219,82877.50865881219,80575.4616367817,0.05345551973995849,-46.14326750083808,3.0850395502242716,-49.22830705106235,-0.49228307051062353,36
short,2025-05-30 20:00:00+00:00,2025-05-30 20:45:00+00:00,104513.90000000001,104844.40090861535,104844.20090861536,103834.54931207698,0.09372285691401791,-30.975489368108803,6.8675803279370236,-37.84306969604582,-0.3784306969604582,9
short,2025-06-01 01:35:00+00:00,2025-06-01 04:30:00+00:00,104189.90000000001,104552.47441081984,104552.27441081984,103463.00605877026,0.09365109502485298,-33.95549060126769,6.842133179581396,-40.79762378084909,-0.40797623780849085,35
short,2025-06-03 10:00:00+00:00,2025-06-03 10:10:00+00:00,105157.8,105296.94986302096,105296.74986302096,104737.1688,0.09240114001765995,-12.857605976437325,6.806190583316111,-19.663796559753436,-0.19663796559753438,2
short,2025-06-18 12:35:00+00:00,2025-06-18 14:10:00+00:00,104535.7,104963.64351344951,104963.44351344951,103710.14725482572,0.0927629202768942,-39.697290021131295,6.801819815139927,-46.499109836271224,-0.46499109836271224,19
short,2025-06-18 18:00:00+00:00,2025-06-18 20:45:00+00:00,104044.3,104785.02559048308,104784.82559048309,102750.43408927538,0.05929621762590951,-43.92222581436514,4.333976197909821,-48.25620201227496,-0.4825620201227497,33
short,2025-08-02 17:45:00+00:00,2025-08-02 18:55:00+00:00,113038.6,112208.98684045827,113459.26373969449,112208.78684045827,0.08494692515070765,70.4730869676342,6.696931464899876,63.776155502734326,0.6377615550273432,14
